business_id,rating,longitude,latitude,Address
81IjU5L-t-QQwsE38C63hQ,4.0,-117.7206854,34.0948841,128 N Oberlin AveClaremont, CA 91711
o2nvKsqafexXX2OHG6hKXg,5.0,-118.444059491,34.0704712869,308 Westwood PlzWestwoodLos Angeles, CA 90095
ErMFay-6o83QB2P1k4ALAg,3.5,-73.964007,40.803379,1020 Amsterdam AveMorningside HeightsNew York, NY 10025
2fyzojctEFmSmJZNzI1g4g,2.0,-71.4095667,41.8178406,171 Chestnut StDownCityProvidence, RI 02903
LaW34gZqLnWjiWF8pl-tvg,4.5,-76.932757,38.990908,8145 Baltimore AveCollege Park, MD 20740
gclB3ED6uk6viWlolSb_uA,2.0,-122.260408,37.867417,2400 Durant AveTelegraph AveBerkeley, CA 94701
aIYUBP7zfZ2t0mnx6o62vg,5.0,-118.273641,34.030769,2222 S FigueroaSouth Los AngelesLos Angeles, CA 90007
G3-STn8vhQXsPObIqlBGPw,2.5,-76.4858911,42.4827916,2310 N Triphammer RdIthaca, NY 14850
RU7bd3h2f6pBlf8BfAyxGQ,5.0,-72.5188285,42.376184,41 Boltwood WalkAmherst, MA 01002
3WFnzu8D6S_T7guXZIOp7A,3.5,-80.5190295,43.4593947,187 King Street SouthWaterloo, ON N2J 1R1
D1NESoG1U9hVG52h7JDu0A,3.0,-88.230618,40.110056,519 E Green StChampaign, IL 61820
cHf-cu8bmM3gcvONo6B3JA,3.5,-83.7420748,42.2775947,402 Maynard StAnn Arbor, MI 48104
R--rV0fSLevjMwxIH6DEBQ,2.5,-75.1795506,39.9511559,200 S 24th StRittenhouse SquarePhiladelphia, PA 19103
VE4Vi52enwiPz8SCCSHBxA,4.5,-117.7314746,34.1071258,911 W Foothill BlvdClaremont, CA 91711
TU2HIXtJ1ChIf2J4whGEyw,3.5,-118.4367551,34.0631451,WestwoodLos Angeles, CA 90024
-7jsTZfNIx3Fy72Uc-AMSA,4.0,-71.1002,42.3669,Central SquareCambridge, MA 02238
cWC1aSv6ql0nBzHX_0a6MQ,3.5,-118.4419674,34.0660655,10833 Le Conte AvenueWestwoodLos Angeles, CA 90095
rJHHMEHrnbsX6Y0CSi4Yxg,5.0,-120.66887,35.292989,862 Meinecke AveSte 203San Luis Obispo, CA 93405
BJKIoQa5N2T_oDlLVf467Q,3.0,-122.2602981,37.8759615,1805 Euclid AveUC Campus AreaBerkeley, CA 94709
vZi4rc_ToK_LVpsP3v0-yA,4.5,-122.2587345,37.865097,2447 Dwight WayTelegraph AveBerkeley, CA 94704
2KaY2WqWi9A7gVQUXSFRGQ,4.0,-122.3133414,47.6589156,4219 University Way NEUniversity DistrictSeattle, WA 98105
jwPmerwJxt53xOv6UdsSvA,1.0,-76.9455301,38.9559442,9050 Lanham Severn RdHyattsville, MD 20781
cmTtaP3LeApvz61W94Lvhg,5.0,-79.0535888672,35.9140205383,169 E Franklin StChapel Hill, NC 27514
J2r4vJgdOJiDvUdQFSS9qQ,3.5,-71.394159,41.824758,120 Governor StProvidence, RI 02906
n9KSfii0GCOJOhDJLAXJ7Q,3.5,-73.691,42.679212,294 N Greenbush RdTroy, NY 12180
9m5s_UB5SZCz56hrONB43Q,4.0,-76.9335627,38.9913538,8147 Baltimore AveCollege Park, MD 20740
V2iy6yakrK_AntVK8R7bEA,4.0,-122.262048,37.866781,2333 Channing WaySte 34UC Campus AreaBerkeley, CA 94704
_A4YqG4TqZvCjBUNK-sSxw,3.5,-76.949652,38.969253,6530 Adelphi RdHyattsville, MD 20782
8SqxzaPVVBTIxrbJKZwDxg,4.0,-97.742054,30.295368,2906 Fruth StUniversity of TexasAustin, TX 78705
8lLs3dsSN-Am2_EtNfbXqA,3.5,-73.965675354,40.8057975769,2893 BroadwayMorningside HeightsNew York, NY 10025
Zc3hqSZHkuELzpyRmv6nrQ,3.0,-88.2089281,40.1118394,120 S Race StUrbana, IL 61801
wz3GFJrL92IqJWCE9v-BKA,4.0,-74.683025,40.294505,3349 US Highway 1Lawrence Township, NJ 08648
92rpAUG_KI8lndU5obe1Uw,3.0,-79.932405,40.458694,5738 Baum BlvdEast LibertyPittsburgh, PA 15206
hGbtJYVdJ-EYSgXdGvps6g,3.5,-74.6510141,40.400431,1217 US Hwy 206 NPrinceton, NJ 08540
dP-icsN34lMu6zo9A--1SA,4.5,-95.4175217,29.7157726,2551 Amherst DrWest UniversityHouston, TX 77005
dpqv-Gy6RLXXGnNrGZjOYw,4.5,-76.478911,42.469234,840 Hanshaw Rd Ste 2Ithaca, NY 14850
NZ3A0xYdnmIG68mZeZV6AA,4.0,-88.208287,40.1132,119 W Water StUrbana, IL 61801
Y8C2FuA0Aiy7uMgXXa3HUg,4.5,-88.240606,40.116715,116 N Chestnut StChampaign, IL 61820
XdZMqJbl-oWA_x0F_q5I_A,4.5,-74.6561453,40.3410101,Princeton, NJ 08544
GXcX7pE3hNQoKqANf2im0A,1.0,-76.4825199,42.482006,2303 N Triphammer RdIthaca, NY 14850
CGQaOhJEQAbvdIE67CHr1Q,4.0,-86.8903486,40.4182394,604 Columbia StLafayette, IN 47901
2b6BvccVTtPwElQreRtFYw,3.5,-75.2001318,39.9549304,3900 Chestnut StUniversity CityPhiladelphia, PA 19104
Syiv-lUfj0iScV4Aw9yWaA,5.0,-73.6418473,42.6762253,Albany, NY 12198
T6YKL1wsPRfRhvseX9uNyQ,5.0,-118.1293325,34.1445837,1005 E Green StPasadenaPasadena, CA 91106
oMWoEXLdPEn5HKyQR4-Ssg,4.5,-97.744746,30.282815,610 W Martin Luther King Jr BlvdWest CampusAustin, TX 78705
aIlV9fry1fEYsybM_4K5rQ,4.5,-117.234507,32.870427,8950 Villa La Jolla DrSte A-105La Jolla, CA 92037
kXC-xNb0P3kq7GOaGrazKw,4.5,-117.6896847,34.1054373,922 N Central AveUpland, CA 91786
UqxMeWY3k8_TYGucik-OKA,4.0,-122.300918,47.6644158,2684 NE 49th StUniversity DistrictSeattle, WA 98105
FfhOTfIUtMpMTj26EqQg8Q,4.0,-76.937606,38.97974,7313 Baltimore AveCollege Park, MD 20740
c_yxtSZNaxXAekgAPNW0Cg,4.5,-76.49167,42.45288,Ithaca, NY
tUl7-7sFCX4Y_JJ9m3qbNA,3.0,-73.7065197,42.7138965,632 3rd AveWatervliet, NY 12189
Q396im01LW4sgl2xNC3Fpg,4.5,-122.2606859,37.8684357,2430 Bancroft WayTelegraph AveBerkeley, CA 94704
qIWIti6Putx8E2MZvrmNGQ,2.0,-76.5080426,42.4321656,742 S Meadow StIthaca, NY 14850
oBN5nMW17Dgrubfehja5qA,1.0,-75.1816642,39.9503209,201 S 25th St Apt 604Rittenhouse SquarePhiladelphia, PA 19103
ZNJKyj1eGFWT3nSBLdTaLA,4.5,-76.9068399,38.9971722,6210 Greenbelt RdGreenbelt, MD 20770
UJw-KnIdnzwbvxzNvIUhgw,3.0,-75.190296,39.95915,203 N 34th StPowelton VillagePhiladelphia, PA 19104
FTdSPMbBw11SFswvFPgJ5Q,2.5,-117.2379299,32.877065,9500 Gilman DrSan Diego, CA 92037
3ObFdIz5ZQA2E_flzVYDgw,5.0,-71.4025661,41.8203303,38 Transit StFox PointProvidence, RI 02903
SHflj5Ie7-BeC6aSQFJc9Q,4.0,-73.6791045,42.739482,120 Hoosick StTroy, NY 12180
yiR4dDit58T8pYg1GMvO3Q,3.5,-73.9660115,40.8053032,2873 BroadwayMorningside HeightsNew York, NY 10025
-ZfUYXTphJdZuBTbfodP3Q,4.0,-117.721389771,34.0944671631,540 W 1st StClaremont, CA 91711
75iVE77Z3w_SJbERaLBhbQ,5.0,-84.4054538,33.7815618,533 10th St NWGeorgia TechAtlanta, GA 30318
Hy2JzrPyqqHk7ed2g-zWbg,2.5,-84.3871398,33.7769608,817 W Peachtree Street NWMidtownAtlanta, GA 30308
oH0S5GrCTOv_btOQd0UrLA,4.5,-86.8518913,40.3936266,2415 Sagamore Pkwy SLafayette, IN 47905
CxYMVhOnWQuYaVv7wTAiAg,5.0,-72.5187519,42.376581,59B Boltwood WalkAmherst, MA 01002
W-RJfufcf-GtIPrdyrJ6pQ,2.0,-71.4006111,41.8281263,178 Angell StCollege HillProvidence, RI 02918
jFCPJfX3qzfsNaQIyi7-ig,5.0,-118.131846,34.143731,120 S Lake AvePasadenaPasadena, CA 91101
tnwOUxWjrQeloEsdEzb53Q,4.0,-118.284472,34.037829,2001 S Hoover StreetSouth Los AngelesLos Angeles, CA 90007
7sBIv30fhszkBsv0kkSBCg,3.0,-122.2992767,47.6617333,2614 NE 46th StUniversity VillageUniversity DistrictSeattle, WA 98105
IU9j37tFH_Dg_8rLkuqDSQ,4.0,-80.5273068,43.463366,83 Erb St WWaterloo, ON N2L 6C2
iH5a2hXZ0BonJS31n_TwNw,1.5,-76.953446,38.964514,6210 Belcrest RdHyattsville, MD 20782
_VVitWVj4AvzqV91O6c1Mw,4.0,-122.2586637,37.8661098,2442 Telegraph AveTelegraph AveBerkeley, CA 94704
yuMPHKwfxWeaDjjNzSGESA,3.0,-79.9507118,40.4523237,4635 Centre AveOaklandPittsburgh, PA 15213
DN9QCQigMZSSeH9yO4r6bg,1.5,-122.301816,47.6651049,4915 25th Ave NESte 301University DistrictSeattle, WA 98105
xkX9SUlI27BDuliNOcuMbg,3.5,-86.891641,40.418049,501 Columbia StLafayette, IN 47901
xwyJUcRY0hNlLY0PDqZhlA,3.5,-79.071875923,35.9115719576,Carr Mill MallCarrboro, NC 27510
lauGgBNIedEApT-gsNbLAA,5.0,-120.665139,35.284829,956 Walnut StSan Luis Obispo, CA 93401
ZiMpqxXKyiN-zsOqp9Vllw,4.5,-84.3992496,33.7734038,350 Ferst DrGeorgia TechAtlanta, GA 30332
y-rxr2D4UEcWK0uRwKNLEg,4.0,-122.3131101,47.6621044,4527 University Way NEUniversity DistrictSeattle, WA 98105
0637qPnv_9upNsjTqA4aYg,4.0,-71.0976636,42.3618052,265 Massachusetts AveKendall Square/MITCambridge, MA 02139
lnpg_iEDbPT2ZOeBhjneow,3.5,-118.291235,34.036226,2130 S Vermont AveSouth Los AngelesLos Angeles, CA 90007
dPIsxsqE22IZ-R43NalT0g,4.5,-72.5778732,42.3445618,206 Russell StHadley, MA 01035
hZUAk5fthL27KwuKicliMQ,4.5,-75.1914835,39.9558626,3401 Market StreetPowelton VillagePhiladelphia, PA 19104
DFjkBf-0JvCNwh8aaYd1-g,5.0,-122.3126854,47.6612115,1409 NE 45th StUniversity DistrictSeattle, WA 98105
oEP8EQRxILT8svJmALwh6w,3.0,-76.512604,42.445768,525 Taughannock BlvdIthaca, NY 14850
FzVANX7N-FQbUZNfKhFJSg,3.5,-88.243435,40.1066266,805 S Neil StChampaign, IL 61820
h2YIIoZC9uYmgpn4vT7Zng,4.5,-120.6552358,35.2856762,1445 Monterey StSan Luis Obispo, CA 93401
3-A0nQLO5utUk9gwSwvcuA,2.0,-117.6870301,34.1068801,1747 W Foothill BlvdUpland, CA 91786
xk_sdpCQVikfiouEvXhxkQ,3.0,-84.3998161,33.7678353,384 Northyards Blvd NWAtlanta, GA 30313
IVenYICiQs5nv9cZkqCD5w,2.0,-71.1037261,42.3658266,10 Prospect StCentral SquareCambridge, MA 02238
qLSAFVz8MdF8GJ5UGtg_mg,3.0,-97.74206,30.294209,2815 Guadalupe StWest CampusAustin, TX 78705
XrqownLHKAzfQwJl-spFeQ,4.0,-80.5284966,43.5034294,55 Northfield Dr EWaterloo, ON N2K 3T6
T1ugJiVm210G_4QvmQCz1g,4.0,-76.9258282,38.994807,5010 Berwyn RdCollege Park, MD 20740
PyIJ8OEfltYaHWJaIwUF2Q,2.5,-122.3007475,47.663277,2630 NE University Village StUniversity DistrictSeattle, WA 98105
Mg1CS5aRT_eV4qaGpEvnIQ,3.0,-117.2306384,32.8679865,3363 Nobel DrLa Jolla, CA 92037
50y29SCG_vhtZy4T75hjsg,4.5,-71.118404,42.3732401,1344 Massachusetts AveHarvard SquareCambridge, MA 02138
HYzPCEgsLDtgJ9vQtERdxA,1.0,-120.6677612,35.2932087,21 Santa Rosa StSte 150San Luis Obispo, CA 93405
IQpohksufCBmGJYZCsZf7g,4.5,-117.6909304,34.1066585,2016 W Foothill BlvdSte BUpland, CA 91786
N-urZV7AHwkI2oavPqJDtQ,3.5,-72.5336856,42.3245395,Hampshire College893 West StAmherst, MA 01004
15YzmE7eR42WLsKCoWtOTg,5.0,-120.659983,35.280824,1020 Marsh StSan Luis Obispo, CA 93401
IdKD1fNtf80lhyP5Ldr_rw,2.5,-76.930318,39.008203,9330 Baltimore AveCollege Park, MD 20740
OdopTmxrlxldE4UINKVhFw,4.5,-71.4007221,41.8238303,42 Charlesfield StCollege HillProvidence, RI 02906
qwy4ECNXVxTirx8zLTk8Jw,4.5,-71.3978995,41.8194316,263 Wickenden StFox PointProvidence, RI 02903
5lOX07_kaaJDKrJD56BFgw,4.5,-118.4483652,34.0672309,633 Gayley AveWestwoodLos Angeles, CA 90024
kKFUNcLklJ54zZNUk-7yjQ,3.0,-79.923154,40.435293,1922 Murray AveSquirrel HillPittsburgh, PA 15217
x_HjoEGn6a1jo-soBQJf9Q,4.5,-83.7418993,42.2793857,603 E Liberty StDowntown Ann ArborAnn Arbor, MI 48104
khdkBG4SetzbtvkGZpyGTQ,3.0,-97.7433776855,30.2822093964,500 W Martin Luther King Jr BlSte AWest CampusAustin, TX 78701
Zb22gjD3m_MwFRB6Ay-QOw,3.5,-76.484656,42.441762,208 Dryden Rd Ste 2Ithaca, NY 14850
X_1PaKwj4GhqwZ9Fi22WRA,4.5,-75.205574,39.954897,4109 Walnut StUniversity CityPhiladelphia, PA 19104
sm15YgK4ubMLq11d2whkYQ,4.0,-122.312971,47.6650167,1406-B NE 50th StUniversity DistrictSeattle, WA 98105
7AlULGZI1pHt0imODsqdkg,4.5,-88.231789,40.1100629,501 E GreenChampaign, IL 61820
Dbph47k1l-u8G5n04JuXBg,5.0,-118.445792198,34.0656720509,200 UCLA Medical PlzSte 420WestwoodLos Angeles, CA 90095
4Mxc95eqsqvrMXJOSp51bw,2.5,-95.4016627,29.7100578,1717 Dryden RdWest UniversityHouston, TX 77030
3S1_y9oueDsvvZufCwptIQ,3.0,-76.896336,38.998975,7850 Walker DrSte 110Greenbelt, MD 20770
B4XBd2EsP49XSThU4Cvmrg,2.5,-71.1221066,42.373192,111 Mount Auburn StHarvard SquareCambridge, MA 02138
ePpchMyJFt9F-oKEHh1WXg,4.0,-83.7341426,42.2751201,1209 S University AveAnn Arbor, MI 48104
Pb0vN4yPgwXn2TOS1ptjjg,2.5,-117.7167425,34.0964809,206 W Bonita AveClaremont, CA 91711
Cd_JVOq_cBueqB9q3X0rkQ,4.0,-88.233756,40.116052,315 E University AveChampaign, IL 61820
0neJ-fo4UDYJN5GAag3DEw,3.0,-122.2586856,37.86561,2468 Telegraph AvenueTelegraph AveBerkeley, CA 94704
HoLltXQfn_vK-LS4VP3wCw,3.5,-97.7416535,30.2928304,2716 Guadalupe StWest CampusAustin, TX 78705
yxjiPZIbWcIOSwOrc1_RSA,3.5,-122.3007559,47.6632973,2610 NE University VillageUniversity DistrictSeattle, WA 98105
MXWSVpWoHq0-29bLt-j9qA,3.0,-80.48587,37.204465,2929 Weatherly CtBlacksburg, VA 24060
lsjRpOCkNvgduR8-YAUJJQ,4.5,-117.718999386,34.0967289581,353 Bonita AveClaremont, CA 91711
8fOGgn8aNrJmAObOd7nxmg,2.5,-95.4116607,29.7062912,2260 W Holcombe BlvdWest UniversityHouston, TX 77030
I3Mzzi5jLiy56ameiG-FIg,3.5,-75.1995344,39.9572391,51 N 39th StSte 340Powelton VillagePhiladelphia, PA 19104
WDxidvOxya-tGcJldNZElg,3.0,-120.6640794,35.279036,723 Higuera StSan Luis Obispo, CA 93401
rJsSNcvbnpYTMYz5JXktOQ,4.5,-86.837031,40.424636,3829 Union StLafayette, IN 47905
P_7A5Ztw4Pwizpdqfx-G-Q,3.0,-118.4450734,34.0602498,1118 Westwood BlvdWestwoodLos Angeles, CA 90024
EAcuimBT8oua2XKLC0UpLA,4.0,-71.415196,41.823065,125 Washington StDownCityProvidence, RI 02903
gWKUg9L0cWkGRsa1ztN72A,4.5,-71.1033087,42.3661287,42 Prospect StCentral SquareCambridge, MA 02139
lQENQYvnL7JOpvfMogDA_Q,3.0,-73.9652818,40.800768,949 Amsterdam AveManhattan ValleyNew York, NY 10025
C8Y9hSU5VjQLNH9rRGKJLQ,4.0,-120.6655407,35.2844759,878 Walnut StSan Luis Obispo, CA 93401
Ryt1Fhgz7sixMQSJiLyP_g,3.0,-75.1938838,39.958557,3600 Lancaster AvePowelton VillagePhiladelphia, PA 19104
kg55k4eCSpTH5uoIOjNPtQ,4.5,-97.742366,30.283247,2010 Guadalupe StreetThe DragAustin, TX 78705
AYuAIf2KkIUF8HaMyorwzQ,4.0,-73.701272,42.741427,2 Archibald StWatervliet, NY 12189
9oKaebSlAZPDhniHdkZTSQ,2.0,-122.3130367,47.6618511,4518 University Way NEUniversity DistrictSeattle, WA 98105
Hp3hFrjuu4nHz5sNkgbZbA,2.5,-117.229749,32.877353,9500 Gilman DrSan Diego, CA 92093
IxopnFY3N31qMErNHaRTGg,4.0,-75.2062665,39.956841,4200 Ludlow StUniversity CityPhiladelphia, PA 19104
60f6JzTRhOyOggsjCfvh5Q,1.5,-73.9598342,40.814025,3141 BroadwayHarlemManhattan, NY 10027
ch1ercqwoNLpQLxpTb90KQ,4.0,-71.1206388474,42.3718298384,54 JFK StHarvard SquareCambridge, MA 02138
gCaIfAJ93W6fvmKuasF6Xw,3.5,-72.530616,42.4095138,1177 N Pleasant StAmherst, MA 01002
jfZXp0POls-M2cgSxsS8fw,2.5,-71.410016,41.822204,123 Dorrance StDownCityProvidence, RI 02903
GZOJJ32d6E1M-IZ0TtZ8gw,3.5,-86.858009,40.401518,3338 Main StLafayette, IN 47905
E4gLWrcaO9GGhWq3cknKzg,5.0,-122.3130879,47.6624149,4536 University Way NEUniversity DistrictSeattle, WA 98105
SGlowZEhllX_NqwQIpIzaQ,3.0,-122.1707225,37.4422452,660 Stanford Shopping CtrPalo Alto, CA 94304
K6AKMjAdCSe8xllsbyeL9Q,4.0,-79.9501368,40.4440654,4230 Forbes AveOaklandPittsburgh, PA 15213
eGE5Am6pxkMTgJ7tL0qG-w,4.5,-118.1300566,34.1444835,960 E Green StSte 330PasadenaPasadena, CA 91106
ewLhqv5In6PhmSzPDu8riw,4.0,-117.7170534,34.1069972,222 W Foothill BlvdClaremont, CA 91711
V92ePy2VVqDfy1RSsjKW6w,1.0,-72.5339135,42.3693641,145 University DrAmherst, MA 01002
LJuHxobQsa7lW0c1wttY2A,3.5,-73.966873,40.80334,258 W 109th StManhattan ValleyNew York, NY 10025
RaE9ir386tfLGwtDN9W6QA,3.5,-117.2317657,32.8646622,8657 Villa La Jolla DrLa JollaLa Jolla, CA 92037
OpNrObgtHgYijZYOU0yF-Q,2.5,-79.956892,40.44133,3716 Forbes AveOaklandPittsburgh, PA 15213
KIpFfgli70e66WWb8kcW_g,4.5,-118.4470275,34.0625214,10948 Weyburn AveWestwoodLos Angeles, CA 90024
DWFaxnDtfWzYytO8n_xBFA,3.0,-120.6708522,35.2941952,858 E Foothill BlvdSan Luis Obispo, CA 93405
of2yfWnwt2f2ml4By2xbKA,4.0,-122.2569545,37.8680197,2550 Durant AveTelegraph AveBerkeley, CA 94704
3GzfH-thOl-eJiVeK4d3VA,4.0,-117.730037,34.107566,835 W Foothill BlvdClaremont, CA 91711
2DEz094o_CZQo2m_rQSoqw,3.0,-122.299099,47.6626542,2675 NE Village LnUniversity DistrictSeattle, WA 98105
7zWoldq0uQV73BjoTM3G5w,4.0,-79.9230629,40.4338463,2034 Murray AveSquirrel HillPittsburgh, PA 15217
jPbtuDvhEhnQeuG8AU3gBQ,4.0,-80.5215439,43.4622996,120 King St SWaterloo, ON N2J 1P5
58oVEzvF6EnOmvVkXYFkTg,3.0,-79.9327212,40.4514414,5528 Walnut StShadysidePittsburgh, PA 15232
rYkRvdxHDtRD7EddbIiFKg,5.0,-74.6561453,40.3410101,Princeton, NJ 08544
dFfQWqHyH_lqCpFhNgAhlQ,3.5,-76.4871373,42.4421156,114 Dryden RdIthaca, NY 14850
Xr2S-dlyHVYkoSHJEIm9fA,4.0,-122.2627557,37.86738,2315 Durant AveUC Campus AreaBerkeley, CA 94704
4dnYY1clI8Z3Oj2oLWVwag,4.0,-79.0537134,35.9015819,University of North CarolinaDaniels Bldg, #1530Chapel Hill, NC 27599
MYerPELZImcIbqt91a3s2g,2.5,-75.1961196,39.9532864,3621 Walnut StUniversity CityPhiladelphia, PA 19104
V1hopwQhoUAQmhVLBJYBJA,5.0,-97.746238,30.287284,715 W 23rd StSte A2West CampusAustin, TX 78705
PgT1jpBuz1mmj5W28rhLHQ,5.0,-117.689169,34.091974,8915 Central AveMontclair, CA 91763
